No,score_lowhigh_capsadstr_int1,salty_low_int
1,3.83333333333333,4.0
2,3.0,3.0
3,4.16666666666667,5.0
4,2.5,4.0
5,3.33333333333333,4.0
6,3.5,4.0
7,2.83333333333333,3.0
8,3.5,4.0
9,2.91666666666667,5.0
10,3.5,4.0
11,3.0,3.0
12,3.33333333333333,3.0
13,2.33333333333333,2.0
14,3.33333333333333,4.0
15,3.66666666666667,5.0
16,2.33333333333333,2.0
17,3.0,4.0
18,3.58333333333333,4.0
19,3.08333333333333,4.0
20,2.58333333333333,2.0
21,4.25,5.0
22,2.58333333333333,3.0
23,2.58333333333333,3.0
24,3.41666666666667,4.0
25,4.08333333333333,5.0
26,3.25,4.0
27,2.5,3.0
28,3.25,3.0
29,2.75,4.0
30,2.33333333333333,2.0
31,2.75,3.0
32,3.75,3.0
33,3.91666666666667,4.0
34,3.08333333333333,2.0
35,2.83333333333333,2.0
36,3.25,3.0
37,3.25,3.0
38,3.75,3.0
39,3.66666666666667,3.0
40,3.08333333333333,4.0
41,2.91666666666667,4.0
42,2.25,3.0
43,3.16666666666667,4.0
44,3.41666666666667,4.0
45,2.83333333333333,4.0
46,1.75,2.0
47,1.91666666666667,2.0
48,3.41666666666667,3.0
49,3.0,3.0
50,3.41666666666667,4.0
51,1.5,1.0
52,3.33333333333333,4.0
53,2.08333333333333,3.0
54,2.25,2.0
55,2.41666666666667,2.0
56,0.75,0.0
57,3.41666666666667,3.0
58,2.25,1.0
59,2.41666666666667,3.0
60,3.75,4.0
61,3.33333333333333,3.0
62,3.16666666666667,3.0
63,3.33333333333333,4.0
64,2.83333333333333,3.0
65,2.91666666666667,4.0
66,2.08333333333333,1.0
67,2.08333333333333,3.0
68,1.75,1.0
69,2.66666666666667,3.0
70,2.91666666666667,3.0
71,3.0,3.0
72,1.75,1.0
73,2.0,3.0
74,2.33333333333333,1.0
75,2.5,2.0
76,3.25,3.0
77,2.0,2.0
78,2.91666666666667,3.0
79,3.25,3.0
80,2.66666666666667,3.0
81,2.33333333333333,2.0
82,3.25,4.0
83,2.83333333333333,2.0
84,2.91666666666667,2.0
85,3.08333333333333,3.0
86,2.83333333333333,3.0
87,0.666666666666667,0.0
88,1.33333333333333,2.0
89,2.83333333333333,3.0
90,3.33333333333333,4.0
91,3.08333333333333,4.0
92,2.33333333333333,2.0
93,2.25,1.0
94,2.83333333333333,3.0
95,3.16666666666667,3.0
96,3.41666666666667,4.0
97,3.08333333333333,4.0
98,2.58333333333333,1.0
99,2.66666666666667,3.0
100,3.08333333333333,4.0
101,3.16666666666667,4.0
102,1.75,3.0
103,3.25,4.0
104,3.25,3.0
105,2.83333333333333,2.0
106,3.16666666666667,2.0
107,3.0,4.0
